River,Dispersion,Morphology,River Type
Ashburton,0.738,Braided,2
At-Bashi,0.674,Braided,2
Copper,0.691,Braided,2
Godley,0.74,Braided,2
Grafe Peak,0.627,Braided,2
Halfafall,0.67,Braided,2
Hrafnabjorg,0.725,Braided,2
Jökulsá í Fljótsdal,0.749,Braided,2
Jökulsá í Lóni,0.723,Braided,2
Krossa,0.734,Braided,2
Matukituki,0.607,Braided,2
Pykkvabaejarklaustur,0.739,Braided,2
Rakaia Tributary 1,0.757,Braided,2
Rakaia Tributary 2,0.682,Braided,2
Rakaira Tributary 3,0.616,Braided,2
Rangitata,0.726,Braided,2
Skaftafell,0.757,Braided,2
Skeiðará Bridge,0.707,Braided,2
Son-Kul,0.654,Braided,2
Tasman,0.718,Braided,2
Tekapo,0.744,Braided,2
Waitaki,0.703,Braided,2
Waimakariri,0.657,Braided,2
Wgreenland,0.69,Braided,2
WGreenland 2,0.733,Braided,2
Meduna Right,0.772,Braided,2
Meduna Left,0.765,Braided,2
Silfrastadhir,0.756,Braided,2
Iceland 1,0.727,Braided,2
Iceland 2 ,0.733,Braided,2
Brahmaputra,0.628,Braided,2
Rangitata.1,0.75,Braided,2
Sag,0.734,Braided,2
Biatka,0.739,Braided,2
Delta,0.682,Braided,2
Koshi,0.654,Braided,2
Loup ,0.718,Braided,2
Ganges,0.753,Braided,2
Athabasca,0.732,Braided,2
Brahmaputra 2,0.717,Braided,2
Tanana,0.743,Braided,2
McKinley,0.742,Braided,2
White,0.698,Braided,2
Tanana Tributary,0.727,Braided,2
Susitina,0.686,Braided,2
Fiume Trionto,0.752,Braided,2
Torrente Satanasso,0.745,Braided,2
Fiumara Saraceno,0.759,Braided,2
Fiume Sarmento,0.74,Braided,2
SE Iceland,0.743,Braided,2
Knik,0.711,Braided,2
Yukon,0.574,Anastamosing,3
Tagliomento Transition,0.642,Anastamosing,3
Piave,0.715,Anastamosing,3
Ganges 1,0.637,Anastamosing,3
Gandak,0.633,Anastamosing,3
Ghaghara,0.691,Anastamosing,3
Amazon,0.315,Meandering,1
Chippewa,0.532,Meandering,1
Chiriqui Viejo,0.482,Meandering,1
Hvanneyri,0.579,Meandering,1
Japura,0.38,Meandering,1
Jurá,0.335,Meandering,1
Luangwa,0.502,Meandering,1
Madre De Dois ,0.51,Meandering,1
Mamore,0.337,Meandering,1
Napo,0.277,Meandering,1
Neches,0.486,Meandering,1
Nowitina,0.395,Meandering,1
Ontonagon,0.552,Meandering,1
Purus ,0.382,Meandering,1
Putumayo,0.445,Meandering,1
Rio Ucayali,0.426,Meandering,1
Sacramento,0.529,Meandering,1
Skeena,0.523,Meandering,1
Tsimlyansk,0.548,Meandering,1
Ucayali,0.473,Meandering,1
Central Kalimantan 1,0.514,Meandering,1
Australia Basin 1,0.295,Meandering,1
Barwon River,0.515,Meandering,1
Central Kalimantan 2,0.349,Meandering,1
Indragiri River,0.408,Meandering,1
Digul River,0.446,Meandering,1
Sung Sen River,0.401,Meandering,1
Lufiria River,0.452,Meandering,1
Congo River,0.534,Meandering,1
Tana River,0.501,Meandering,1
Ereen River,0.45,Meandering,1
Adda River,0.472,Meandering,1
Ucayali River,0.462,Meandering,1
Amga River ,0.494,Meandering,1
Rio Ta Huamanu River ,0.399,Meandering,1
Tarauaca River,0.499,Meandering,1
Rio Muru River,0.45,Meandering,1
Rio Envira River,0.398,Meandering,1
Kapuas River,0.432,Meandering,1
Baliem River ,0.415,Meandering,1
Papua New Guinea River 1 ,0.292,Meandering,1
Era River,0.5,Meandering,1
Trinity,0.517,Meandering,1
Rio Guaviare,0.338,Meandering,1
Inirida River,0.349,Meandering,1
Huallaga River,0.473,Meandering,1
Rio Uneiuxi,0.367,Meandering,1
Ngawun Chaung,0.4,Meandering,1
Rio Madidi ,0.394,Meandering,1
Rio Madre De Dois 2,0.436,Meandering,1
